"Step","bolivia-ACPPowerModel-h96-2024-05-18T17:06:09.485 - metrics/training_loss","bolivia-ACPPowerModel-h96-2024-05-18T17:06:09.485 - metrics/training_loss__MIN","bolivia-ACPPowerModel-h96-2024-05-18T17:06:09.485 - metrics/training_loss__MAX"
"63","370773.93597204046","370773.93597204046","370773.93597204046"
"65","375188.8157589144","375188.8157589144","375188.8157589144"
"67","376928.871323427","376928.871323427","376928.871323427"
"69","371367.80467138934","371367.80467138934","371367.80467138934"
"71","359015.10606496676","359015.10606496676","359015.10606496676"
"73","375023.7250491424","375023.7250491424","375023.7250491424"
"75","364081.9099121213","364081.9099121213","364081.9099121213"
"77","363411.0976526185","363411.0976526185","363411.0976526185"
"79","368778.33310467395","368778.33310467395","368778.33310467395"
"81","368002.48359061114","368002.48359061114","368002.48359061114"
"83","366198.2695943461","366198.2695943461","366198.2695943461"
"85","365738.1431715202","365738.1431715202","365738.1431715202"
"87","362942.614603847","362942.614603847","362942.614603847"
"89","367199.86627652985","367199.86627652985","367199.86627652985"
"91","354265.09571260697","354265.09571260697","354265.09571260697"
"93","364248.2409522432","364248.2409522432","364248.2409522432"
"95","362975.29905845475","362975.29905845475","362975.29905845475"
"97","366231.45329821797","366231.45329821797","366231.45329821797"
"99","364502.622827428","364502.622827428","364502.622827428"
"101","353133.5367638422","353133.5367638422","353133.5367638422"
"103","360556.59123592125","360556.59123592125","360556.59123592125"
"105","361296.9478173","361296.9478173","361296.9478173"
"107","361606.8934884224","361606.8934884224","361606.8934884224"
"109","355701.76162185613","355701.76162185613","355701.76162185613"
"111","349234.0807508664","349234.0807508664","349234.0807508664"
"113","351251.2465189525","351251.2465189525","351251.2465189525"
"115","355585.0159041098","355585.0159041098","355585.0159041098"
"117","354439.2966976154","354439.2966976154","354439.2966976154"
"119","355199.4666827505","355199.4666827505","355199.4666827505"
"121","356095.2678433241","356095.2678433241","356095.2678433241"
"123","357697.44703546003","357697.44703546003","357697.44703546003"
"125","351401.99685688346","351401.99685688346","351401.99685688346"
"127","356697.27270596067","356697.27270596067","356697.27270596067"
"129","348090.8689653822","348090.8689653822","348090.8689653822"
"131","351455.47612207395","351455.47612207395","351455.47612207395"
"133","348916.76013740693","348916.76013740693","348916.76013740693"
"135","344836.44717301737","344836.44717301737","344836.44717301737"
"137","353079.8724591169","353079.8724591169","353079.8724591169"
"139","346421.0298685351","346421.0298685351","346421.0298685351"
"141","345507.43337858614","345507.43337858614","345507.43337858614"
"143","343486.11956266843","343486.11956266843","343486.11956266843"
"145","341449.52815831173","341449.52815831173","341449.52815831173"
"147","346447.41379216954","346447.41379216954","346447.41379216954"
"149","349624.9363552864","349624.9363552864","349624.9363552864"
"151","344098.0896890345","344098.0896890345","344098.0896890345"
"153","351131.1415109177","351131.1415109177","351131.1415109177"
"155","349050.0643153455","349050.0643153455","349050.0643153455"
"157","348328.6971566796","348328.6971566796","348328.6971566796"
"159","345254.40141293703","345254.40141293703","345254.40141293703"
"161","335535.8889679953","335535.8889679953","335535.8889679953"
"163","343565.0798419708","343565.0798419708","343565.0798419708"
