GML-DR,SOC,DCLL
24.42024368612913,22.813843592801046,49.54941990409771
52.61296437285968,49.9387637668155,97.097948379888
73.48352463262623,69.16518326259805,145.1708634021679
91.83805322425037,91.63763049422144,190.64729129672975
110.86761016381314,114.40974519474337,234.66317518144834
130.33535100787216,135.7043932333,275.27236568022994
149.96564788150093,157.90672206387407,316.4871514629371
164.8842109660702,172.26288984042617,356.55271315816606
184.2736304550699,193.50197715274084,397.20655566004007
201.07120806949973,210.92576592197278,427.8574345956914
213.98948002403523,224.97520272484363,457.496551638803
225.72688322725935,238.69437732719206,482.82381829813005
239.1668901198572,253.98443801763932,497.08977544668926
241.60838349393734,258.4052680519806,505.39624657540344
243.87005338216596,258.4225558386635,506.6784910826276
236.40957247481768,254.99062372579897,502.7380774556133
227.95434435922692,249.51064036503595,503.4170287670405
220.622918585445,242.58885321920985,496.87921678607756
212.56362040852184,234.61600624675012,481.2841945572829
205.2029039491568,227.0110914080873,465.8869404803926
192.11172746537042,218.63936557614426,454.412790170982
182.64174725153643,211.71242915887638,442.6056376818927
170.47323265401315,204.7414057781976,432.2153270813449
159.3982266944243,195.3880108559675,421.28464739970104
149.83275468177777,185.3149879812562,410.4244783179803
138.64025236257154,176.8474604105602,398.9446183778599
128.49981121700947,164.61635553908977,388.10894645284327
119.55808956485505,149.16393814327247,374.1541921661782
109.40994797473343,138.17046488554612,361.6508993447279
101.19943831752322,129.34971036513215,350.12475229151715
93.0950380662557,118.31050939709739,339.6320147928602
84.12683336412759,108.59144397404403,328.73227018052813
74.31425566082584,95.48746670794944,319.0404648735611
64.68251988150816,83.74441412661264,308.496723623757
55.93273512854179,71.78851104659745,299.36029892311615
47.470230714780435,60.9918011685822,290.25273642848214
42.902251002571404,53.600632677179114,280.57887173985773
36.783300544222826,47.90093899852285,273.30651449600253
33.84886683504263,42.8456382174302,267.97850423311473
30.539060756940593,36.67447495499788,261.28477255588393
24.253147300947152,31.918336786741225,258.16944144422706
19.37421242647696,30.661511320096842,252.57528301028051
19.84415330662441,31.90301593886835,248.68457925442584
18.691311496242008,30.7903760321419,246.93321318438203
15.539802441267089,28.992890695169088,244.69532049339392
13.12883827578762,31.493795242185534,244.24140821696406
10.285098591264575,33.11838011051926,244.9402459433396
4.304177338190841,33.270321240759145,243.6971405561209
24.78912364920815,65.17296628387666,265.0716352011874
46.128564933125965,90.28542730203827,296.6262930993124
64.76391535600754,113.07871638440982,319.4786897422961
83.68469255678947,131.4767403670748,337.25441394063085
102.62576751085504,151.1793263646652,360.06167607978875
122.10884547505285,168.9485496840517,388.9888026857748
139.0909362617462,187.3915507036424,415.30002071418477
155.61642050719266,203.96616374195102,429.6456775860732
173.85502380009012,225.07846869778504,446.9381970476626
189.94357321868284,241.04455533480413,470.5468434807508
205.10542110474128,258.5410732406748,493.5365671353491
215.07972350994615,272.6301659815547,512.0853030307214
227.59214018171318,287.5338142107001,533.0130461087713
238.35900989155587,293.88007438043957,544.5799310908476
239.71734286536073,297.0518966344584,546.652247392426
234.57097188762512,289.4556520547937,540.6277925443459
229.3653070056195,277.85806814774884,534.1012976570515
225.24123129953014,266.74068632947535,521.6430972003988
223.40755563346332,266.8566800999722,511.87198310601696
214.71780354727954,267.0158147988449,494.99316264197415
205.58213381979897,266.13060450702403,477.76109495824915
199.63638289165294,263.19296222844577,461.71427699611905
196.9476255915581,261.6158545963803,447.3540039279449
194.4338549997918,257.7831110006971,433.8218780634964
184.44008688689235,250.04913847095594,414.8523637395515
173.09125454485738,243.2333713249594,404.62007327881196
159.78808641494453,228.9311234566315,392.1159899219537
147.54040572653105,213.558622333515,370.8366567115319
133.80975465042192,198.677421201316,351.78951524029327
127.36292166442063,187.49318401090244,333.84032697738184
112.03242464451118,173.40295666748415,314.8699992025041
105.96512844688678,157.9553391121576,295.83646815148575
96.7158810392197,139.19770564782658,277.76505484067457
84.57566495709078,121.51323250732996,260.80336533931677
74.0859960981055,102.81492301691021,244.81377734540047
64.1471888014527,93.56352480978265,229.80878379613947
56.610735085880044,85.35925892242258,216.32236713375337
46.06540066642355,75.26905287491292,204.61035195642123
39.177180780946124,66.37318261061246,193.80216501249657
36.97198268578548,52.831682182498604,182.12786046897708
34.51914070410228,43.23240862060199,171.48596569509476
30.16428798379447,38.35776429158663,164.08973790285032
28.3731107822482,35.07077696849485,158.22252925175928
24.328388479164293,31.135171755718282,151.5877331392966
18.1810374571695,24.294709467605973,143.38126476756474
12.201931607410033,21.52000166844794,136.35711895740354
7.8039381182538,17.884997616871818,130.910665748474
0.29612398857184563,6.23867643771192,124.82020094458733
