TS-DDR,TS-LDR,SDDP-DCLL
310.36670246669604,190.6722286458643,195.63543555612705
300.0402745493755,190.90652301539131,195.63543555612705
284.2826155974511,171.63943917880493,195.63543555612705
262.4530038156778,121.21508100972635,195.63543555612705
206.35392491538158,145.20801477325261,195.63543555612705
208.21355603480114,195.98400612739056,195.63543555612705
208.12952287519298,184.48014396809722,195.63543555612705
253.52436583713765,190.87603531657106,195.63543555612705
197.49385757780357,172.23381096355334,195.63543555612705
176.1998239554637,201.74198937392333,195.63543555612705
143.10638487256296,215.0539330108239,195.63543555612705
164.09784216489297,279.54855006541385,195.63543555612705
143.1526001495168,277.8093653960411,195.63543555612705
138.63716756407192,310.53456997649914,205.06045742923942
146.71750713493958,292.79909971339623,195.68074015203655
165.70724922362527,280.8412648986776,218.95066904257948
180.37133573496948,242.6055000405791,214.6528862348388
182.27104743289698,211.40288408393354,211.1054538655554
168.42200067480422,189.96593864844323,260.57719886696566
179.7805579103504,222.72866315226474,217.74141764153222
186.53255590422555,188.0834764164419,254.5907971550042
189.88534980456515,212.1772302952223,220.55556816454924
192.64091374776072,184.23100125319985,241.7186585644044
200.9301606923647,190.13865800309074,236.28538901803387
202.34954433985894,189.68633560207715,206.54775010047405
200.9866375374354,235.3745249877977,201.06423440985083
203.76899870404935,208.9381063062943,232.46315214214115
208.7689367428301,200.89825960442676,202.1997333790202
209.7058885606046,196.46027964947436,225.48464506177243
208.96462536876243,201.61431229939222,244.56542551393068
206.00901496381934,232.08174739174302,226.8034266106153
207.20778628305524,187.6391060127259,221.28204920509333
199.19117583288852,192.98150505420466,214.05141183202468
203.15270955387152,201.76227664281953,211.0935640959868
209.85397010503294,194.04919342207475,215.56155138387948
218.71254016547692,194.34063393564193,202.24166962659464
223.81357497445498,193.37694522056964,205.39173990288145
223.74031219381095,188.90063688959074,198.4646397532116
218.99258706266096,216.37849071059196,213.4374784310854
222.7025714993219,203.73663739141742,199.60722350983716
216.77625720460864,219.20930629489536,198.64676921113056
205.0103191395091,196.49835753972692,196.64561661028762
197.17276078678094,210.6199490865397,195.63543555612705
217.31712583372683,201.570851580731,198.48143862072405
219.98278229746552,212.02989485796223,197.74495843974967
211.7039073704681,189.78408466394114,195.73571568661347
192.18950081162296,201.1333859563303,196.18353246666993
163.092361244188,196.5808845249248,198.04021844833525
96.76269175973658,192.40059021930801,195.63543555612705
100.26213496508751,209.01783947283775,195.63543555612705
109.91843911835947,220.64445830261405,195.63543555612705
113.24432444864752,211.58290813823123,195.63543555612705
141.1923600640126,235.30799469944805,195.63543555612705
136.97710286806029,248.91380108044092,195.63543555612705
178.0270514797749,240.5595514171583,195.63543555612705
192.46092554811065,217.23457441612854,195.63543555612705
192.0162957802997,240.95160128460026,195.63543555612705
187.74857008028843,209.3346844558812,194.9253208161026
202.29790020677325,201.51557361871764,195.63543555612705
219.65550967542032,206.133340668758,195.63543555612705
206.78985827380035,186.7210675712195,195.63543555612705
179.7013026157542,183.78919648173925,194.72758839453945
197.31107210219633,232.6798077533337,195.63543555612705
212.439322870421,225.05275971183332,195.63543555612705
226.74491915517856,201.95125030170584,194.72758839453945
237.79138575748794,176.9880820056647,198.0280615072656
226.89559668358947,195.57764057424754,195.63543555612705
217.60134072120286,218.83179558896828,198.88667325565396
231.72878349789417,214.69100870050383,195.63543555612705
227.0683054446563,189.2320686725807,195.63543555612705
224.92155019669514,183.63297229068797,195.37658029993136
236.17496516463643,203.93108537154325,196.54256154065575
228.84145861660085,200.11195150876443,200.54398701323652
229.11282698547083,197.9668663386743,195.2172455505036
226.5767931911686,190.32425702793915,198.67432998232522
238.22139125690848,191.82982117902986,195.63543555612705
240.89940714128525,191.7053259677584,201.13300981547155
256.6425204679863,198.07109788256338,206.23013823631223
247.5685121967173,218.50360796809645,217.76809622840392
251.1982331042891,196.6345740039764,210.86786458701357
254.6770881224796,205.372872209885,197.4677205061156
258.18891393972154,192.1025949538282,218.76785691473236
260.50366533628454,182.05702658151841,217.44158367759582
266.7744191032485,211.0941326340786,199.20517688659322
262.18305797809705,224.42347228545017,218.6708379876769
264.5284965211532,183.68965348029684,200.8819480106621
269.543963845514,192.5882816556022,199.37219233451157
255.854599395458,224.12638548857277,198.63415544514888
249.11738406633398,187.6468399549652,201.36332435620503
219.32291557005183,198.97333357041174,198.97666234394302
213.99198952029354,226.58079801132834,199.38470919629063
195.1052709011372,199.9536689558037,199.08211041079875
197.84827109234902,187.12185781448508,202.8952239438802
188.89680487713747,182.17304414521956,206.53396022668508
139.0596776361857,187.7534456796539,202.58241502431267
108.02245305886454,186.34717231009637,206.65594669592264
